Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
3,6:09,1,10,SFO 24,17,10,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),0.54,1.53
3,5:30,1,10,SFO 39,17,10,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Myles Murphy),1.53,1.93
3,4:50,2,3,SFO 46,17,10,Brock Purdy pass complete short right to George Kittle for 20 yards (tackle by Nick Scott),1.93,3.31
3,4:03,1,10,CIN 34,17,10,Christian McCaffrey left tackle for 3 yards (tackle by Nick Scott and Sam Hubbard),3.31,3.18
3,3:19,2,7,CIN 31,17,10,Christian McCaffrey up the middle for 6 yards (tackle by Sam Hubbard),3.18,3.27
3,2:34,3,1,CIN 25,17,10,Kyle Juszczyk up the middle for 1 yard (tackle by B.J. Hill),3.27,3.97
3,1:45,1,10,CIN 24,17,10,Christian McCaffrey right end for 4 yards (tackle by Germaine Pratt and Daxton Hill),3.97,3.97
3,0:58,2,6,CIN 20,17,10,Brock Purdy scrambles left end for 12 yards (tackle by Logan Wilson),3.97,5.37
3,0:15,1,8,CIN 8,17,10,"Brock Purdy pass short right intended for Elijah Mitchell is intercepted by Germaine Pratt at CIN-10 and returned for 9 yards (tackle by Brock Purdy). Penalty on Aaron Banks: Ineligible Downfield Pass, 5 yards (declined)",5.37,-0.15
3,0:04,1,10,CIN 19,17,10,Joe Burrow pass complete deep left to Tee Higgins for 33 yards (tackle by Tashaun Gipson),0.15,2.39
4,15:00,1,10,SFO 48,17,10,Joe Burrow sacked by and Clelin Ferrell for -3 yards and Nick Bosa for -3 yards,2.39,1.44
4,14:14,2,13,CIN 49,17,10,Joe Mixon up the middle for 6 yards (tackle by Dre Greenlaw),1.44,1.55
4,13:31,3,7,SFO 45,17,10,"Joe Burrow pass complete to Ja'Marr Chase for no gain. Ja'Marr Chase fumbles (forced by Charvarius Ward), recovered by Tashaun Gipson at SF-38 (tackle by Orlando Brown) Replay Assistant challenged the fumble ruling, and the original play was overturned. Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Charvarius Ward)",1.55,0.27
4,13:26,4,7,SFO 45,17,10,"Brad Robbins punts 45 yards, touchback.",0.27,-0.28
4,13:17,1,10,SFO 20,17,10,Brock Purdy pass short middle intended for Brandon Aiyuk is intercepted by Logan Wilson at SF-33 and returned for 16 yards (tackle by George Kittle),0.28,-4.44
4,13:08,1,10,SFO 17,23,10,"Joe Burrow pass complete deep right to Ja'Marr Chase for 17 yards, touchdown",4.44,7
4,13:04,,,SFO 15,24,10,Evan McPherson kicks extra point good,0,0
4,13:04,,,CIN 35,24,10,"Evan McPherson kicks off 65 yards, touchback.",0,0.61
4,13:04,1,10,SFO 25,24,10,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Germaine Pratt and Logan Wilson),0.61,1.28
4,12:27,2,1,SFO 34,24,10,Christian McCaffrey left tackle for 3 yards (tackle by Zachary Carter),1.28,1.4
4,11:51,1,10,SFO 37,24,10,Brock Purdy pass complete deep right to Brandon Aiyuk for 25 yards (tackle by Logan Wilson),1.4,3.05
4,11:09,1,10,CIN 38,24,10,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Logan Wilson),3.05,3.18
4,10:30,2,5,CIN 33,24,10,Brock Purdy pass incomplete short right intended for Christian McCaffrey,3.18,2.48
4,10:24,3,5,CIN 33,24,10,Brock Purdy pass complete short middle to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),2.48,4.37
4,9:45,1,10,CIN 18,24,10,Christian McCaffrey up the middle for 4 yards (tackle by Logan Wilson),4.37,4.43
4,9:09,2,6,CIN 14,24,10,Brock Purdy pass incomplete short middle intended for George Kittle,4.43,3.63
4,9:03,3,6,CIN 14,24,10,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by DJ Turner),3.63,6.28
4,8:18,1,4,CIN 4,24,16,"Brock Purdy pass complete short middle to Christian McCaffrey for 4 yards, touchdown",6.28,7
4,8:12,,,CIN 15,24,17,Jake Moody kicks extra point good,0,0
4,8:12,,,SFO 35,24,17,"Jake Moody kicks off 55 yards, returned by Trayveon Williams for 12 yards (tackle by George Odum and Dee Winters)",0,0.41
4,8:07,1,10,CIN 22,24,17,Joe Burrow pass complete short left to Trenton Irwin for 3 yards (tackle by Talanoa Hufanga),0.41,0.27
4,7:33,2,7,CIN 25,24,17,Joe Burrow pass complete short right to Trenton Irwin for 21 yards (tackle by Talanoa Hufanga),0.27,1.99
