Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
4,11:28,2,5,LAR 30,24,14,Matthew Stafford pass incomplete short middle intended for Allen Robinson (defended by Fred Warner),0.74,0.04
4,11:23,3,5,LAR 30,24,14,Matthew Stafford pass complete short middle to Allen Robinson for 6 yards (tackle by Talanoa Hufanga),0.04,1.33
4,11:11,1,10,LAR 36,24,14,"Penalty on Allen Robinson: Taunting / Offense, 15 yards (accepted) (no play)",1.33,0.34
4,10:49,1,10,LAR 21,24,14,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.34,-0.2
4,10:44,2,10,LAR 21,24,14,Matthew Stafford pass complete short right to Darrell Henderson for 7 yards (tackle by Charvarius Ward),-0.2,0.04
4,10:00,3,3,LAR 28,24,14,Matthew Stafford pass incomplete short left intended for Tyler Higbee,0.04,-1.5
4,9:55,4,3,LAR 28,24,14,Riley Dixon punts 45 yards out of bounds,-1.5,-0.74
4,9:47,1,10,SFO 27,24,14,Christian McCaffrey up the middle for 3 yards (tackle by Aaron Donald),0.74,0.6
4,9:08,2,7,SFO 30,24,14,Jimmy Garoppolo pass complete deep left to Ross Dwelley for 56 yards (tackle by Derion Kendrick),0.6,4.65
4,8:19,1,10,LAR 14,24,14,Christian McCaffrey right tackle for 2 yards (tackle by Ernest Jones and Nick Scott),4.65,4.33
4,7:34,2,8,LAR 12,24,14,Christian McCaffrey right end for 5 yards (tackle by Greg Gaines and Nick Scott),4.33,4.5
4,6:48,3,3,LAR 7,30,14,"Jimmy Garoppolo pass complete to George Kittle for 7 yards, touchdown",4.5,7
4,6:41,,,LAR 15,31,14,Robbie Gould kicks extra point good,0,0
4,6:41,,,SFO 35,31,14,"Robbie Gould kicks off 65 yards, returned by Brandon Powell for 21 yards (tackle by Demetrius Flannigan-Fowles)",0,0.34
4,6:37,1,10,LAR 21,31,14,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Oren Burks),0.34,0.48
4,6:16,2,5,LAR 26,31,14,Matthew Stafford sacked by Nick Bosa for -11 yards,0.48,-1.96
4,5:35,3,16,LAR 15,31,14,Darrell Henderson left end for 6 yards (tackle by Fred Warner and Oren Burks),-1.96,-1.96
4,4:56,4,10,LAR 21,31,14,"Riley Dixon punts 58 yards, returned by Ray-Ray McCloud for 15 yards (tackle by Christian Rozeboom and Jake Hummel)",-1.96,-1.33
4,4:43,1,10,SFO 36,31,14,Christian McCaffrey left end for 3 yards (tackle by Justin Hollins and Jalen Ramsey),1.33,1.2
4,3:59,2,7,SFO 39,31,14,Christian McCaffrey up the middle for 3 yards (tackle by A'Shawn Robinson),1.2,0.89
4,3:16,3,4,SFO 42,31,14,Christian McCaffrey up the middle for no gain (tackle by Aaron Donald),0.89,-0.59
4,2:30,4,4,SFO 42,31,14,"Mitch Wishnowsky punts 49 yards, returned by Brandon Powell for no gain (tackle by Samuel Womack)",-0.59,0.38
4,2:24,1,10,LAR 9,31,14,Malcolm Brown left tackle for 4 yards (tackle by Samson Ebukam and Jimmie Ward),-0.38,-0.48
4,2:00,2,6,LAR 13,31,14,Malcolm Brown left tackle for 2 yards (tackle by Oren Burks),-0.48,-0.72
4,1:19,3,4,LAR 15,31,14,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Fred Warner),-0.72,0.34
4,1:02,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:02,1,10,LAR 21,31,14,Malcolm Brown left tackle for 4 yards (tackle by Hassan Ridgeway),0.34,0.34
4,0:28,2,6,LAR 25,31,14,Matthew Stafford kneels for -2 yards,0.34,-0.63
