Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
4,8:43,4,5,LAR 24,9,17,Robbie Gould 42 yard field goal no good,1.92,-1.14
4,8:38,1,10,LAR 33,9,17,Darrell Henderson right tackle for 2 yards (tackle by Samson Ebukam and Kevin Givens),1.14,0.86
4,8:18,2,8,LAR 35,9,17,Matthew Stafford pass complete short right to Tyler Higbee for 10 yards (tackle by Dre Greenlaw),0.86,1.93
4,7:42,1,10,LAR 45,9,17,Matthew Stafford pass complete short right to Tyler Higbee for 6 yards (tackle by Dre Greenlaw),1.93,2.19
4,7:20,2,4,SFO 49,9,17,Matthew Stafford pass complete short middle to Cooper Kupp for 5 yards (tackle by Deommodore Lenoir),2.19,2.65
4,6:36,1,10,SFO 44,9,23,"Matthew Stafford pass intended for Cooper Kupp is intercepted by Talanoa Hufanga at SF-48 and returned for 52 yards, touchdown",2.65,-7
4,6:27,,,LAR 15,9,24,Robbie Gould kicks extra point good,0,0
4,6:27,,,SFO 35,9,24,"Robbie Gould kicks off 61 yards, returned by Brandon Powell for 22 yards (tackle by Charlie Woerner)",0,0.67
4,6:21,1,10,LAR 26,9,24,Matthew Stafford pass complete short left to Allen Robinson for 5 yards (tackle by Emmanuel Moseley),0.67,0.81
4,5:58,2,5,LAR 31,9,24,Matthew Stafford pass complete short right to Tyler Higbee for 4 yards (tackle by Dre Greenlaw),0.81,0.63
4,5:25,3,1,LAR 35,9,24,Darrell Henderson up the middle for 4 yards (tackle by Fred Warner),0.63,1.53
4,5:02,1,10,LAR 39,9,24,Matthew Stafford pass incomplete deep left intended for Allen Robinson,1.53,0.99
4,4:58,2,10,LAR 39,9,24,Matthew Stafford pass complete short middle to Kendall Blanton for 7 yards (tackle by Deommodore Lenoir and Dre Greenlaw),0.99,1.22
4,4:12,3,3,LAR 46,9,24,Matthew Stafford pass complete short right to Ben Skowronek for 17 yards (tackle by Deommodore Lenoir),1.22,3.12
4,3:48,1,10,SFO 37,9,24,Matthew Stafford pass incomplete short left intended for Darrell Henderson (defended by Drake Jackson),3.12,2.57
