Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
4,4:56,,,SFO 35,17,41,"Robbie Gould kicks off 66 yards, returned by Godwin Igwebuike for 25 yards (tackle by Charlie Woerner)",0,0.54
4,4:50,1,10,SEA 24,17,41,"Geno Smith pass complete to Kenneth Walker for no gain. Penalty on Damien Lewis: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.54,0.13
4,4:43,1,15,SEA 19,17,41,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Demetrius Flannigan-Fowles),0.13,0.13
4,4:39,2,9,SEA 25,17,41,Geno Smith scrambles left end for 9 yards (tackle by Kevin Givens),0.13,1.2
4,4:31,1,10,SEA 34,17,41,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Samuel Womack),1.2,1.2
4,4:02,2,6,SEA 38,17,41,Kenneth Walker up the middle for 7 yards (tackle by Azeez Al-Shaair),1.2,1.93
4,3:35,1,10,SEA 45,17,41,Geno Smith pass complete short left to Colby Parkinson for 5 yards (tackle by Samuel Womack),1.93,2.06
4,3:30,2,5,SFO 50,17,41,Geno Smith pass incomplete short left intended for Tyler Lockett,2.06,1.36
4,3:27,3,5,SFO 50,17,41,Geno Smith pass incomplete deep left intended for Colby Parkinson,1.36,-0.06
4,3:16,4,5,SFO 50,17,41,Geno Smith pass complete short right to Cade Johnson for 5 yards (tackle by Jackrabbit Jenkins),-0.06,2.59
4,3:10,1,10,SFO 45,17,41,Geno Smith pass complete short left to Dareke Young for 11 yards (tackle by Samuel Womack),2.59,3.31
4,3:05,1,10,SFO 34,17,41,Geno Smith pass complete deep right to Cade Johnson for 24 yards (tackle by Tarvarius Moore),3.31,4.91
4,2:37,1,10,SFO 10,17,41,Geno Smith pass incomplete short middle intended for Noah Fant,4.91,4.19
4,2:32,2,10,SFO 10,17,41,Geno Smith pass complete short right to Tyler Lockett for 3 yards,4.19,3.81
4,2:27,3,7,SFO 7,17,41,Geno Smith sacked by Charles Omenihu for -4 yards,3.81,2.7
4,2:00,4,11,SFO 11,17,41,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Samuel Womack: Defensive Pass Interference, 8 yards (accepted) (no play)",2.7,6.51
4,1:55,1,3,SFO 3,17,41,Geno Smith pass incomplete short right intended for Colby Parkinson,6.51,5.53
4,1:52,2,3,SFO 3,23,41,"Geno Smith pass complete short right to D.K. Metcalf for 3 yards, touchdown",5.53,7
4,1:48,,,SFO 2,23,41,Two Point Attempt: Geno Smith pass incomplete intended for D.K. Metcalf,1,-1
4,1:48,,,SEA 35,23,41,"Jason Myers kicks onside 12 yards, returned by Christian McCaffrey for no gain",0,2.46
4,1:47,1,10,SEA 47,23,41,Jordan Mason right guard for 8 yards (tackle by Johnathan Abram),2.46,2.99
4,1:02,2,2,SEA 39,23,41,Jordan Mason left guard for 4 yards (tackle by Cody Barton and Myles Adams),2.99,3.25
4,0:22,1,10,SEA 35,23,41,Brock Purdy kneels for -1 yards,3.25,2.57
