Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
3,1:14,,,SFO 35,10,23,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,1:10,1,10,MIA 25,10,23,Tua Tagovailoa pass complete short left to Tyreek Hill for 7 yards (tackle by Dre Greenlaw),0.61,1.01
3,0:59,2,3,MIA 32,10,23,Tua Tagovailoa pass complete short left to Jaylen Waddle for 9 yards (tackle by Tashaun Gipson),1.01,1.66
3,0:13,1,10,MIA 41,10,23,"Penalty on Trent Sherfield: False Start, 5 yards (accepted) (no play)",1.66,1.33
4,15:00,1,15,MIA 36,10,23,Tua Tagovailoa pass complete deep left to Tyreek Hill for 19 yards (tackle by Talanoa Hufanga),1.33,2.59
4,14:35,1,10,SFO 45,16,23,"Tua Tagovailoa pass complete deep middle to Tyreek Hill for 45 yards, touchdown",2.59,7
4,14:28,,,SFO 15,17,23,Jason Sanders kicks extra point good,0,0
4,14:28,,,MIA 35,17,23,"Jason Sanders kicks off 66 yards, returned by Ray-Ray McCloud for 31 yards (tackle by Trent Sherfield)",0,0.94
4,14:20,1,10,SFO 30,17,23,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,0.94,0.39
4,14:18,2,10,SFO 30,17,23,Brock Purdy pass complete short right to Deebo Samuel for 9 yards (tackle by Christian Wilkins),0.39,0.89
4,13:34,3,1,SFO 39,17,23,Brock Purdy pass complete short left to Deebo Samuel for 12 yards (tackle by Keion Crossen and Jevon Holland),0.89,2.32
4,12:50,1,10,MIA 49,17,23,Jordan Mason left tackle for no gain (tackle by Zach Sieler),2.32,1.78
4,12:09,2,10,MIA 49,17,23,Brock Purdy pass complete short right to Christian McCaffrey for 6 yards (tackle by Eric Rowe),1.78,1.88
4,11:26,3,4,MIA 43,17,23,Brock Purdy pass incomplete short left intended for Jauan Jennings,1.88,0.4
4,11:18,4,4,MIA 43,17,23,Mitch Wishnowsky punts 33 yards downed by Ambry Thomas,0.4,0.38
4,11:10,1,10,MIA 10,17,23,Raheem Mostert up the middle for 7 yards (tackle by Fred Warner and Jimmie Ward),-0.38,-0.09
4,10:48,2,3,MIA 17,17,23,Tua Tagovailoa pass complete short left to Durham Smythe for 2 yards (tackle by Dre Greenlaw),-0.09,-0.37
4,10:04,3,1,MIA 19,17,23,"Tua Tagovailoa pass complete to Trent Sherfield for 16 yards SFO challenged the pass completion ruling, and the original play was overturned. Tua Tagovailoa pass incomplete deep right intended for Trent Sherfield",-0.37,-2.14
4,9:59,4,1,MIA 19,17,23,Tua Tagovailoa pass complete short left to Tyreek Hill for 9 yards (tackle by Tashaun Gipson),-2.14,0.81
4,9:23,1,10,MIA 28,17,23,Tua Tagovailoa pass complete short left to River Cracraft for 11 yards (tackle by Dre Greenlaw),0.81,1.53
4,8:46,1,10,MIA 39,17,23,Tua Tagovailoa pass complete short right to Tyreek Hill for 9 yards (tackle by Jimmie Ward),1.53,2.2
4,8:09,2,1,MIA 48,17,23,Raheem Mostert right tackle for 8 yards (tackle by Jimmie Ward and Charvarius Ward),2.2,2.65
4,7:27,1,10,SFO 44,17,23,Tua Tagovailoa pass complete short left to Tyreek Hill for 3 yards (tackle by Dre Greenlaw),2.65,2.52
4,6:45,2,7,SFO 41,17,23,Raheem Mostert left guard for 5 yards (tackle by Fred Warner),2.52,2.48
4,6:08,3,2,SFO 36,17,23,Tua Tagovailoa pass incomplete short middle intended for Tyreek Hill (defended by Drake Jackson),2.48,0.89
4,6:03,4,2,SFO 36,17,23,"Tua Tagovailoa pass complete to Mike Gesicki for 3 yards SFO challenged the pass completion ruling, and the original play was overturned. Tua Tagovailoa pass incomplete short left intended for Mike Gesicki (defended by Dre Greenlaw)",0.89,-1.33
4,6:00,1,10,SFO 36,17,23,Deebo Samuel left end for no gain (tackle by Jerome Baker and Andrew Van Ginkel),1.33,0.79
4,5:38,2,10,SFO 36,17,23,Brock Purdy pass complete to Deebo Samuel for 9 yards (tackle by Eric Rowe and Jerome Baker),0.79,1.29
