Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
3,8:27,3,2,ARI 15,13,28,Kyle Juszczyk up the middle for 3 yards (tackle by Michael Dogbe),4.05,4.78
3,7:46,1,10,ARI 12,13,28,Deebo Samuel right end for 4 yards (tackle by Kamu Grugier-Hill),4.78,4.83
3,7:10,2,6,ARI 8,13,28,Brock Purdy scrambles left end for 2 yards (tackle by Ben Niemann),4.83,4.38
3,6:32,3,4,ARI 6,13,28,Brock Purdy sacked by Cameron Thomas for -3 yards,4.38,2.83
3,5:50,4,7,ARI 9,13,31,Robbie Gould 27 yard field goal good,2.83,3
3,5:47,,,SFO 35,13,31,"Robbie Gould kicks off 67 yards, returned by Pharoh Cooper for 26 yards (tackle by George Odum and Talanoa Hufanga). Penalty on Dennis Gardeck: Offensive Holding, 10 yards (accepted)",0,-0.28
3,5:40,1,10,ARI 14,13,31,David Blough pass complete short left to Greg Dortch for 15 yards (tackle by Deommodore Lenoir),-0.28,0.87
3,4:59,1,10,ARI 29,13,31,David Blough pass complete short right to Keaontay Ingram for 1 yard (tackle by Fred Warner),0.87,0.46
3,4:22,2,9,ARI 30,13,31,"David Blough sacked by Jordan Willis for -2 yards. David Blough fumbles (forced by Jordan Willis), recovered by Michael Dwumfour at ARI-28 (tackle by Jordan Willis)",0.46,-3.71
3,4:13,1,10,ARI 28,13,31,Jordan Mason up the middle for 6 yards (tackle by Isaiah Simmons),3.71,3.98
3,3:32,2,4,ARI 22,13,31,Jordan Mason right tackle for 2 yards (tackle by Michael Dogbe and J.J. Watt),3.98,3.53
3,2:48,3,2,ARI 20,13,31,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Jalen Thompson and Josh Thomas),3.53,6.06
3,1:59,1,5,ARI 5,13,31,"Jordan Mason right guard for 5 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Jordan Mason right guard for 4 yards (tackle by J.J. Watt and Michael Dogbe)",6.06,5.91
3,1:48,2,1,ARI 1,13,31,Brock Purdy up the middle for no gain (tackle by Manny Jones),5.91,5.17
3,1:06,3,1,ARI 1,13,37,"Brock Purdy pass complete short right to George Kittle for 1 yard, touchdown",5.17,7
3,1:01,,,ARI 15,13,38,Robbie Gould kicks extra point good,0,0
3,1:01,,,SFO 35,13,38,"Robbie Gould kicks off 65 yards, returned by Pharoh Cooper for 33 yards (tackle by Oren Burks)",0,1.14
3,0:55,1,10,ARI 33,13,38,Corey Clement up the middle for 3 yards (tackle by Oren Burks),1.14,1
