Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
4,15:00,1,10,PHI 45,28,13,Brock Purdy pass incomplete short right,2.59,2.04
4,14:54,2,10,PHI 45,28,13,Christian McCaffrey right guard for 1 yard (tackle by Josh Sweat),2.04,1.49
4,14:15,3,9,PHI 44,28,13,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Eli Ricks),1.49,0.89
4,13:32,4,1,PHI 36,28,13,Christian McCaffrey left end for 2 yards (tackle by Haason Reddick and Nicholas Morrow),0.89,3.31
4,12:53,1,10,PHI 34,28,13,Elijah Mitchell right guard for 11 yards (tackle by Reed Blankenship),3.31,4.04
4,12:11,1,10,PHI 23,28,13,Elijah Mitchell up the middle for 1 yard (tackle by Marlon Tuipulotu and Nicholas Morrow),4.04,3.63
4,11:27,2,9,PHI 22,28,13,Brock Purdy pass complete short right to Christian McCaffrey for 4 yards,3.63,3.49
4,10:50,,,,,,Timeout #1 by San Francisco 49ers,,
4,10:50,3,5,PHI 18,34,13,"Brock Purdy pass complete short left to Jauan Jennings for 18 yards, touchdown",3.49,7
4,10:43,,,PHI 15,35,13,Jake Moody kicks extra point good,0,0
4,10:43,,,SFO 35,35,13,"Jake Moody kicks off 59 yards, returned by Boston Scott for 23 yards (tackle by Charlie Woerner)",0,0.87
4,10:38,1,10,PHI 29,35,13,Marcus Mariota pass complete short left to DeVonta Smith for 12 yards (tackle by Ambry Thomas),0.87,1.66
4,10:13,1,10,PHI 41,35,13,Marcus Mariota pass incomplete short middle intended for D'Andre Swift (defended by Kevin Givens),1.66,1.12
4,10:08,2,10,PHI 41,35,13,Marcus Mariota pass complete short left to D'Andre Swift for 4 yards (tackle by Oren Burks),1.12,0.96
4,9:39,3,6,PHI 45,35,13,Marcus Mariota scrambles right end for 5 yards (tackle by Fred Warner),0.96,-0.06
4,8:57,4,1,PHI 50,35,13,Marcus Mariota up the middle for 1 yard (tackle by Oren Burks),-0.06,2.32
4,8:38,1,10,SFO 49,35,13,Jalen Hurts scrambles right end for 4 yards (tackle by Oren Burks),2.32,2.32
4,8:08,2,6,SFO 45,35,13,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by Charvarius Ward),2.32,2.98
4,7:40,1,10,SFO 39,35,13,Jalen Hurts pass complete deep middle to A.J. Brown for 19 yards (tackle by Tashaun Gipson),2.98,4.24
4,7:02,1,10,SFO 20,35,13,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Ambry Thomas),4.24,4.83
4,6:29,2,3,SFO 13,35,13,Jalen Hurts pass complete short right to Quez Watkins for 5 yards (tackle by Ji'Ayir Brown),4.83,5.37
4,5:56,1,8,SFO 8,35,13,Jalen Hurts pass incomplete short right intended for DeVonta Smith,5.37,4.57
4,5:48,2,8,SFO 8,35,13,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",4.57,3.72
4,5:48,2,13,SFO 13,35,13,"Jalen Hurts pass incomplete short right intended for A.J. Brown. Penalty on Deommodore Lenoir: Defensive Pass Interference, 11 yards (accepted) (no play)",3.72,6.74
4,5:42,1,2,SFO 2,35,13,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Ambry Thomas),6.74,5.72
