Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
4,1:46,,,,,,Timeout #2 by Los Angeles Rams,,
4,1:46,4,22,SFO 50,30,20,"Mitch Wishnowsky punts 35 yards, fair catch by Kyren Williams at LA-15. Penalty on Tre Swilling: Kick Catch Interference, 15 yards (accepted)",-0.06,-0.94
4,1:34,1,10,LAR 30,30,20,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Dre Greenlaw),0.94,0.39
4,1:28,2,10,LAR 30,30,20,Matthew Stafford pass complete short right to Puka Nacua for 5 yards (tackle by Charvarius Ward),0.39,0.37
4,1:26,3,5,LAR 35,30,20,Matthew Stafford scrambles left end for 5 yards (tackle by Fred Warner),0.37,1.6
4,1:19,1,10,LAR 40,30,20,Matthew Stafford pass complete short left to Van Jefferson for 9 yards (tackle by Deommodore Lenoir),1.6,2.27
4,1:00,2,1,LAR 49,30,20,Matthew Stafford pass incomplete deep middle intended for Puka Nacua,2.27,1.55
4,0:54,3,1,LAR 49,30,20,Matthew Stafford pass complete short left to Tutu Atwell for 6 yards (tackle by Fred Warner),1.55,2.59
4,0:49,,,,,,Timeout #3 by Los Angeles Rams,,
4,0:49,1,10,SFO 45,30,20,Matthew Stafford pass incomplete deep left intended for Van Jefferson,2.59,2.04
4,0:41,2,10,SFO 45,30,20,Matthew Stafford pass complete short right to Kyren Williams for 8 yards (tackle by Fred Warner and Drake Jackson),2.04,2.41
4,0:20,3,2,SFO 37,30,20,Matthew Stafford pass complete short right to Puka Nacua for 17 yards (tackle by Fred Warner and Talanoa Hufanga),2.41,4.24
4,0:05,1,10,SFO 20,30,20,Matthew Stafford spiked the ball,4.24,3.69
4,0:04,2,10,SFO 20,30,23,Brett Maher 38 yard field goal good,3.69,3
