Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
3,6:26,1,10,NYG 14,12,17,Christian McCaffrey right guard for 6 yards (tackle by Bobby Okereke),4.65,5.09
3,5:46,2,4,NYG 8,12,17,Christian McCaffrey right end for -4 yards (tackle by Micah McFadden),5.09,3.43
3,5:02,3,8,NYG 12,12,17,"Brock Purdy pass incomplete short middle intended for George Kittle. Penalty on Kayvon Thibodeaux: Illegal Contact, 5 yards (accepted) (no play)",3.43,5.6
3,4:58,1,7,NYG 7,12,17,Christian McCaffrey up the middle for 4 yards (tackle by Jason Pinnock and Dexter Lawrence),5.6,5.53
3,4:20,2,3,NYG 3,12,17,Brock Purdy pass incomplete short left,5.53,4.72
3,4:15,3,3,NYG 3,12,17,Brock Purdy pass incomplete short right,4.72,3.04
3,4:12,4,3,NYG 3,12,20,Jake Moody 21 yard field goal good,3.04,3
3,4:08,,,SFO 35,12,20,"Jake Moody kicks off 62 yards, returned by Eric Gray for 16 yards (tackle by George Odum)",0,0.15
3,4:04,1,10,NYG 19,12,20,Daniel Jones pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Oren Burks and Tashaun Gipson),0.15,-0.06
3,3:23,2,8,NYG 21,12,20,"Penalty on Daniel Bellinger: False Start, 5 yards (accepted) (no play)",-0.06,-0.87
3,3:14,2,13,NYG 16,12,20,Daniel Jones pass complete short left to Wan'Dale Robinson for 4 yards (tackle by Tashaun Gipson),-0.87,-0.94
3,2:45,3,9,NYG 20,12,20,"Daniel Jones pass incomplete short right intended for Darius Slayton. Penalty on Marcus McKethan: Offensive Holding, 10 yards (offset) . Penalty on Isaiah Oliver: Defensive Holding, 5 yards (offset) (no play)",-0.94,-0.94
3,2:27,3,9,NYG 20,12,20,Daniel Jones pass incomplete deep right intended for Darren Waller,-0.94,-2.03
3,2:22,4,9,NYG 20,12,20,"Jamie Gillan punts 49 yards, fair catch by Ray-Ray McCloud at SF-31",-2.03,-1
3,2:13,,,,,,Timeout #1 by San Francisco 49ers,,
3,2:13,1,10,SFO 31,12,20,Brock Purdy pass complete short left to George Kittle for 8 yards (tackle by Micah McFadden),1,1.54
3,1:37,2,2,SFO 39,12,20,Elijah Mitchell left end for 8 yards (tackle by Bobby Okereke),1.54,2.06
3,0:54,1,10,SFO 47,12,20,Elijah Mitchell left tackle for 1 yard (tackle by A'Shawn Robinson),2.06,1.65
3,0:24,2,9,SFO 48,12,20,Brock Purdy pass complete short left to George Kittle for 29 yards (tackle by Jason Pinnock and Bobby Okereke),1.65,4.04
4,15:00,1,10,NYG 23,12,20,"Brock Purdy pass incomplete deep left intended for Christian McCaffrey. Penalty on Tre Hawkins: Defensive Holding, 5 yards (accepted) (no play)",4.04,4.37
4,14:55,1,10,NYG 18,12,20,Elijah Mitchell right guard for -2 yards (tackle by Micah McFadden),4.37,3.56
4,14:13,2,12,NYG 20,12,20,Brock Purdy pass complete short left to Elijah Mitchell for -5 yards (tackle by Darnay Holmes),3.56,2.21
4,13:30,3,17,NYG 25,12,20,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Isaiah Simmons),2.21,2.25
4,12:51,4,10,NYG 18,12,23,Jake Moody 36 yard field goal good,2.25,3
4,12:47,,,SFO 35,12,23,"Jake Moody kicks off 65 yards, touchback.",0,0.61
4,12:47,1,10,NYG 25,12,23,"Daniel Jones scrambles for no gain. Penalty on Joshua Ezeudu: Offensive Facemask, 12 yards (accepted) (no play)",0.61,-0.64
4,12:32,1,22,NYG 13,12,23,Daniel Jones pass complete short left to Darren Waller for 9 yards (tackle by Deommodore Lenoir),-0.64,-0.34
4,11:57,2,13,NYG 22,12,23,Daniel Jones pass complete short right to Parris Campbell for 2 yards (tackle by Isaiah Oliver),-0.34,-0.76
4,11:16,3,11,NYG 24,12,23,Daniel Jones pass incomplete short middle intended for Darren Waller,-0.76,-1.77
4,11:12,4,11,NYG 24,12,23,"Jamie Gillan punts 58 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Darnay Holmes)",-1.77,-0.94
4,11:00,1,10,SFO 30,12,23,Brock Purdy pass complete short middle to Deebo Samuel for 19 yards (tackle by Adoree' Jackson and Bobby Okereke),0.94,2.19
4,10:20,1,10,SFO 49,12,23,Brock Purdy pass complete short right to George Kittle for 8 yards (tackle by Jason Pinnock),2.19,2.73
4,9:37,2,2,NYG 43,12,23,Kyle Juszczyk up the middle for 3 yards (tackle by Micah McFadden and Tre Hawkins),2.73,2.92
4,8:56,1,10,NYG 40,12,23,Christian McCaffrey right tackle for 4 yards (tackle by Jason Pinnock and Tre Hawkins),2.92,2.91
4,8:15,2,6,NYG 36,12,23,Christian McCaffrey left guard for 4 yards (tackle by Dexter Lawrence),2.91,2.74
4,7:31,3,2,NYG 32,12,23,Brock Purdy pass complete short left to Christian McCaffrey for 2 yards (tackle by Adoree' Jackson),2.74,3.58
4,6:51,1,10,NYG 30,12,23,Christian McCaffrey left guard for 3 yards (tackle by Dexter Lawrence and Tre Hawkins),3.58,3.44
4,6:05,2,7,NYG 27,12,29,"Brock Purdy pass complete deep right to Deebo Samuel for 27 yards, touchdown",3.44,7
4,5:58,,,NYG 15,12,30,Jake Moody kicks extra point good,0,0
4,5:58,,,SFO 35,12,30,"Jake Moody kicks off 65 yards, touchback.",0,0.61
4,5:58,1,10,NYG 25,12,30,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Charvarius Ward),0.61,0.06
4,5:53,2,10,NYG 25,12,30,"Daniel Jones pass complete short right to Darius Slayton for 3 yards (tackle by Charvarius Ward). Penalty on Dre Greenlaw: Unnecessary Roughness / Defense, 15 yards (accepted)",0.06,1.8
4,5:33,1,10,NYG 43,12,30,Daniel Jones pass complete short right to Darius Slayton for 12 yards (tackle by Charvarius Ward),1.8,2.59
4,4:56,1,10,SFO 45,12,30,Daniel Jones pass complete short right to Matt Breida for 2 yards (tackle by Oren Burks),2.59,2.31
4,4:26,2,8,SFO 43,12,30,Daniel Jones pass complete short right to Matt Breida for -9 yards (tackle by Oren Burks),2.31,0.43
4,3:49,3,17,NYG 48,12,30,Daniel Jones pass short right (defended by Charvarius Ward) intended for Darren Waller is intercepted by Talanoa Hufanga at SF-40 and returned for 8 yards (tackle by Matt Breida),0.43,-2.13
4,3:39,1,10,SFO 48,12,30,Elijah Mitchell up the middle for 2 yards (tackle by A'Shawn Robinson and Dexter Lawrence),2.13,1.85
4,3:35,,,,,,Timeout #1 by New York Giants,,
4,3:35,2,8,SFO 50,12,30,Elijah Mitchell left end for 3 yards (tackle by Tre Hawkins),1.85,1.55
4,3:30,,,,,,Timeout #2 by New York Giants,,
4,3:30,3,5,NYG 47,12,30,Elijah Mitchell for 3 yards (tackle by Dexter Lawrence),1.55,0.33
4,3:25,,,,,,Timeout #3 by New York Giants,,
4,3:25,4,2,NYG 44,12,30,Mitch Wishnowsky punts 39 yards out of bounds,0.33,0.38
4,3:18,1,10,NYG 5,12,30,Gary Brightwell up the middle for 2 yards (tackle by Isaiah Oliver),-0.38,-0.63
4,2:54,2,8,NYG 7,12,30,Tyrod Taylor scrambles up the middle for 2 yards (tackle by Clelin Ferrell),-0.63,-0.95
4,2:18,3,6,NYG 9,12,30,Tyrod Taylor pass incomplete short right intended for Wan'Dale Robinson,-0.95,-2.49
4,2:13,4,6,NYG 9,12,30,"Jamie Gillan punts 52 yards, returned by Ray-Ray McCloud for 10 yards (tackle by Carter Coughlin)",-2.49,-2.19
4,2:01,1,10,SFO 49,12,30,Jordan Mason right end for 5 yards (tackle by Isaiah Simmons),2.19,2.32
4,1:55,2,5,NYG 46,12,30,Jordan Mason up the middle for 1 yard (tackle by Leonard Williams and Rakeem Nunez-Roches),2.32,1.75
4,1:10,3,4,NYG 45,12,30,Jordan Mason up the middle for 5 yards (tackle by Leonard Williams),1.75,2.92
4,0:29,1,10,NYG 40,12,30,Sam Darnold kneels for -1 yards,2.92,2.24
