Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
3,11:53,1,15,SFO 20,10,21,Brock Purdy pass complete deep middle to Brandon Aiyuk for 23 yards (tackle by Stephon Gilmore),0.28,1.8
3,11:12,1,10,SFO 43,10,21,Christian McCaffrey up the middle for 4 yards (tackle by Chauncey Golston),1.8,1.79
3,10:32,2,6,SFO 47,10,21,Christian McCaffrey right end for 3 yards (tackle by Micah Parsons and Sam Williams),1.79,1.35
3,9:58,3,4,SFO 49,10,21,"Brock Purdy pass complete deep left to Brandon Aiyuk for no gain. Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",1.35,0.17
3,9:34,3,13,SFO 40,10,21,Brock Purdy pass complete deep middle to Deebo Samuel for 42 yards (tackle by Stephon Gilmore and Leighton Vander Esch),0.17,4.37
3,8:50,1,10,DAL 18,10,21,Brock Purdy pass complete short middle to Kyle Juszczyk for 7 yards (tackle by Jayron Kearse),4.37,5.01
3,8:08,2,3,DAL 11,10,21,Deebo Samuel left guard for 1 yard (tackle by DaRon Bland and Dorance Armstrong),5.01,4.51
3,7:24,3,2,DAL 10,10,27,"Brock Purdy pass complete short left to George Kittle for 10 yards, touchdown",4.51,7
3,7:20,,,DAL 15,10,28,Jake Moody kicks extra point good,0,0
3,7:20,,,SFO 35,10,28,"Jake Moody kicks off 57 yards, returned by Rico Dowdle for 13 yards (tackle by George Odum)",0,0.34
3,7:16,1,10,DAL 21,10,28,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.34,0.61
3,6:45,2,4,DAL 27,10,28,Tony Pollard up the middle for 10 yards (tackle by Talanoa Hufanga),0.61,1.4
3,6:16,1,10,DAL 37,10,28,Dak Prescott pass deep left intended for Brandin Cooks is intercepted by Tashaun Gipson at SF-12 and returned for 26 yards (tackle by Sean McKeon and Tyler Smith),1.4,-1.47
3,6:01,1,10,SFO 38,10,28,Jordan Mason up the middle for 8 yards (tackle by Micah Parsons and Damone Clark),1.47,2
3,5:15,2,2,SFO 46,10,28,Jordan Mason up the middle for 4 yards (tackle by Donovan Wilson),2,2.26
3,4:34,1,10,SFO 50,10,28,Brock Purdy pass incomplete short left intended for Jordan Mason,2.26,1.71
3,4:29,2,10,SFO 50,10,28,Brock Purdy pass complete short right to Christian McCaffrey for 8 yards (tackle by Jourdan Lewis and Markquese Bell),1.71,2.08
3,3:44,3,2,DAL 42,10,28,Brock Purdy pass complete deep left to Jauan Jennings for 19 yards (tackle by Malik Hooker),2.08,4.04
3,3:02,1,10,DAL 23,10,28,Christian McCaffrey up the middle for 5 yards (tackle by Leighton Vander Esch),4.04,4.21
3,2:21,2,5,DAL 18,10,28,Deebo Samuel left guard for 4 yards (tackle by Leighton Vander Esch),4.21,4.28
3,1:37,3,1,DAL 14,10,28,Christian McCaffrey up the middle for 1 yard (tackle by Johnathan Hankins),4.28,4.71
3,0:55,1,10,DAL 13,10,28,Christian McCaffrey up the middle for 3 yards (tackle by Dorance Armstrong and Osa Odighizuwa),4.71,4.58
3,0:14,2,7,DAL 10,10,28,Brock Purdy pass complete short right to Kyle Juszczyk for 9 yards (tackle by Leighton Vander Esch and Malik Hooker),4.58,6.97
4,15:00,1,1,DAL 1,10,28,Christian McCaffrey up the middle for no gain (tackle by Donovan Wilson),6.97,5.91
4,14:22,2,1,DAL 1,10,34,"Brock Purdy pass complete short right to Kyle Juszczyk for 1 yard, touchdown",5.91,7
4,14:19,,,DAL 15,10,35,Jake Moody kicks extra point good,0,0
4,14:19,,,SFO 35,10,35,"Jake Moody kicks off 65 yards, touchback.",0,0.61
4,14:19,1,10,DAL 25,10,35,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,0.61,0.06
4,14:15,2,10,DAL 25,10,35,Dak Prescott pass short left (defended by Deommodore Lenoir) intended for Michael Gallup is intercepted by Fred Warner at DAL-38 and returned for 12 yards (tackle by Michael Gallup),0.06,-3.84
4,14:05,1,10,DAL 26,10,41,"Jordan Mason left end for 26 yards, touchdown",3.84,7
4,13:59,,,DAL 15,10,42,Jake Moody kicks extra point good,0,0
4,13:59,,,SFO 35,10,42,"Jake Moody kicks off 65 yards, touchback.",0,0.61
4,13:59,1,10,DAL 25,10,42,Tony Pollard up the middle for 7 yards (tackle by Clelin Ferrell),0.61,1.01
4,13:38,2,3,DAL 32,10,42,Dak Prescott pass complete short right to Tony Pollard for 26 yards (tackle by Clelin Ferrell),1.01,2.79
4,12:59,1,10,SFO 42,10,42,Dak Prescott pass short right intended for Brandin Cooks is intercepted by Oren Burks at SF-36 and returned for 11 yards (tackle by Terence Steele),2.79,-2.06
