Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
3,9:21,3,11,TAM 9,7,20,Baker Mayfield pass complete short right to Mike Evans for 13 yards (tackle by Charvarius Ward),-1.54,0.41
3,8:40,1,10,TAM 22,7,20,Baker Mayfield pass complete short right to Rachaad White for 11 yards (tackle by Arik Armstead),0.41,1.14
3,7:56,1,10,TAM 33,7,20,Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Fred Warner),1.14,0.59
3,7:15,2,10,TAM 33,7,20,Baker Mayfield pass incomplete short middle intended for Rachaad White,0.59,-0.1
3,7:12,3,10,TAM 33,7,20,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Dre Greenlaw),-0.1,-1.18
3,7:08,4,10,TAM 33,7,20,"Jake Camarda punts 46 yards, fair catch by Ray-Ray McCloud at TB-33",-1.18,-0.34
3,7:00,1,10,SFO 21,7,20,Christian McCaffrey right end for 12 yards (tackle by Carlton Davis),0.34,1.14
3,6:16,1,10,SFO 33,7,20,Brock Purdy pass complete short left to George Kittle for 11 yards (tackle by Antoine Winfield),1.14,1.86
3,5:36,1,10,SFO 44,7,20,Christian McCaffrey left tackle for -4 yards (tackle by Shaquil Barrett),1.86,0.78
3,4:58,2,14,SFO 40,7,20,Brock Purdy pass complete deep right to Deebo Samuel for 40 yards (tackle by Dee Delaney),0.78,4.24
3,4:17,1,10,TAM 20,7,20,Christian McCaffrey up the middle for 6 yards (tackle by Logan Hall and Kaevon Merriweather),4.24,4.64
3,3:35,2,4,TAM 14,7,20,Christian McCaffrey right tackle for 3 yards (tackle by Greg Gaines and Antoine Winfield),4.64,4.59
3,2:52,3,1,TAM 11,7,20,Christian McCaffrey left tackle for 5 yards (tackle by Antoine Winfield),4.59,5.83
3,2:24,1,6,TAM 6,7,20,Christian McCaffrey up the middle for 3 yards (tackle by Vita Vea),5.83,5.53
3,1:46,2,3,TAM 3,7,26,"Brock Purdy pass complete short left to George Kittle for 3 yards, touchdown",5.53,7
3,1:42,,,TAM 15,7,27,Jake Moody kicks extra point good,0,0
3,1:42,,,SFO 35,7,27,"Jake Moody kicks off 65 yards, touchback.",0,0.61
3,1:42,1,10,TAM 25,7,27,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Ji'Ayir Brown),0.61,0.87
3,1:04,2,4,TAM 31,7,27,Chase Edmonds left end for 1 yard (tackle by Chase Young),0.87,0.3
3,0:22,3,3,TAM 32,7,27,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Ambry Thomas),0.3,1.33
4,15:00,1,10,TAM 36,7,27,Baker Mayfield pass complete deep middle to Rakim Jarrett for 41 yards (tackle by Ji'Ayir Brown),1.33,4.04
4,14:27,1,10,SFO 23,7,27,"Baker Mayfield pass incomplete deep middle intended for Cade Otton. Penalty on Fred Warner: Defensive Pass Interference, 22 yards (accepted) (no play)",4.04,6.97
4,14:22,1,1,SFO 1,13,27,"Rachaad White right guard for 1 yard, touchdown",6.97,7
4,14:16,,,SFO 15,14,27,Chase McLaughlin kicks extra point good,0,0
4,14:16,,,TAM 35,14,27,"Jake Camarda kicks off 47 yards, returned by Jordan Mason for 12 yards (tackle by SirVocea Dennis)",0,0.94
4,14:11,1,10,SFO 30,14,27,"Penalty on Kyle Juszczyk: False Start, 5 yards (accepted) (no play)",0.94,0.61
4,14:11,1,15,SFO 25,14,27,Christian McCaffrey up the middle for 2 yards (tackle by William Gholston and Antoine Winfield),0.61,-0.01
4,13:24,,,,,,Timeout #1 by San Francisco 49ers,,
4,13:24,2,13,SFO 27,14,27,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Josh Hayes and SirVocea Dennis),-0.01,0.1
4,12:41,3,7,SFO 33,14,27,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,0.1,-1.18
4,12:36,4,7,SFO 33,14,27,"Mitch Wishnowsky punts 60 yards, returned by Deven Thompkins for 13 yards (tackle by George Odum)",-1.18,-0.28
4,12:25,1,10,TAM 20,14,27,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Fred Warner),0.28,-0.27
4,12:20,2,10,TAM 20,14,27,Baker Mayfield pass complete short right to Mike Evans for 12 yards (tackle by Charvarius Ward),-0.27,1.07
4,12:00,1,10,TAM 32,14,27,Baker Mayfield pass complete short right to Chris Godwin for 9 yards,1.07,1.74
4,11:45,2,1,TAM 41,14,27,Rachaad White up the middle for 3 yards (tackle by Fred Warner),1.74,1.86
4,11:16,1,10,TAM 44,14,27,Baker Mayfield pass complete short middle to Trey Palmer for 3 yards (tackle by Fred Warner),1.86,1.72
4,10:47,2,7,TAM 47,14,27,Baker Mayfield pass complete short right to Chris Godwin for 8 yards (tackle by Charvarius Ward),1.72,2.59
4,10:24,1,10,SFO 45,14,27,Baker Mayfield pass complete short right to Rachaad White for no gain (tackle by Fred Warner),2.59,2.04
4,9:49,2,10,SFO 45,14,27,Baker Mayfield pass complete short right to Rachaad White for no gain (tackle by Deommodore Lenoir),2.04,1.36
4,9:03,3,10,SFO 45,14,27,Baker Mayfield pass complete short middle to Chris Godwin for 11 yards (tackle by Charvarius Ward),1.36,3.31
4,8:32,1,10,SFO 34,14,27,Baker Mayfield pass complete short right to Payne Durham for 5 yards,3.31,3.45
4,7:58,2,5,SFO 29,14,27,Baker Mayfield pass incomplete deep middle intended for Mike Evans,3.45,2.74
4,7:54,3,5,SFO 29,14,27,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Fred Warner),2.74,1.54
4,7:50,4,5,SFO 29,14,27,Baker Mayfield pass complete short right to Mike Evans for 11 yards (tackle by Ambry Thomas and Ji'Ayir Brown),1.54,4.37
4,7:17,1,10,SFO 18,14,27,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Dre Greenlaw and Charvarius Ward),4.37,4.81
4,6:53,2,4,SFO 12,14,27,Baker Mayfield pass incomplete short middle intended for Deven Thompkins,4.81,4.03
4,6:49,3,4,SFO 12,14,27,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Tashaun Gipson),4.03,2.71
4,6:45,4,4,SFO 12,14,27,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Ji'Ayir Brown),2.71,0.35
4,6:39,1,10,SFO 12,14,27,Christian McCaffrey left tackle for -1 yards (tackle by YaYa Diaby and Antoine Winfield),-0.35,-0.85
4,5:57,2,11,SFO 11,14,27,Brock Purdy sacked by YaYa Diaby for -8 yards,-0.85,-2.47
4,5:12,3,19,SFO 3,14,27,Christian McCaffrey up the middle for 12 yards (tackle by SirVocea Dennis and Antoine Winfield),-2.47,-2.44
4,4:27,4,7,SFO 15,14,27,"Mitch Wishnowsky punts 49 yards, returned by Deven Thompkins for 51 yards (tackle by Dee Winters)",-2.44,-4.71
4,4:12,1,10,SFO 13,14,27,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Dre Greenlaw and Ambry Thomas),4.71,4.77
4,3:46,2,6,SFO 9,14,27,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Ji'Ayir Brown),4.77,3.88
4,3:42,3,6,SFO 9,14,27,Baker Mayfield pass short left (defended by Dre Greenlaw) intended for Chris Godwin is intercepted by Ji'Ayir Brown in end zone and returned for no gain,3.88,-0.28
4,3:38,1,10,SFO 20,14,27,Christian McCaffrey up the middle for -1 yards (tackle by Vita Vea),0.28,-0.46
4,3:33,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,3:33,2,11,SFO 19,14,27,Brock Purdy left end for 13 yards (tackle by Josh Hayes),-0.46,1.07
4,2:52,1,10,SFO 32,14,27,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Antoine Winfield),1.07,1.86
