Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
3,7:41,1,10,KAN 25,21,16,Clyde Edwards-Helaire right guard for 6 yards (tackle by Charvarius Ward),0.61,0.87
3,7:04,2,4,KAN 31,21,16,Patrick Mahomes pass complete deep middle to Travis Kelce for 18 yards (tackle by Charvarius Ward),0.87,2.19
3,6:21,1,10,KAN 49,21,16,Jerick McKinnon up the middle for 3 yards (tackle by Nick Bosa),2.19,2.05
3,5:43,2,7,SFO 48,21,16,Patrick Mahomes pass complete short right to Mecole Hardman for 5 yards (tackle by Charvarius Ward),2.05,2.01
3,5:13,3,2,SFO 43,21,16,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 15 yards (tackle by Tashaun Gipson),2.01,3.71
3,4:35,1,10,SFO 28,21,16,"Patrick Mahomes pass incomplete deep right intended for Justin Watson. Penalty on Andrew Wylie: Offensive Holding, 10 yards (accepted) (no play)",3.71,3.05
3,4:30,1,20,SFO 38,21,16,Patrick Mahomes pass incomplete short middle intended for Jody Fortson,3.05,1.82
3,4:27,2,20,SFO 38,21,16,Patrick Mahomes pass incomplete short right,1.82,1.16
3,4:21,3,20,SFO 38,21,16,Patrick Mahomes pass complete short left to Jerick McKinnon for 34 yards (tackle by Tashaun Gipson),1.16,6.28
3,3:35,1,4,SFO 4,27,16,"Patrick Mahomes pass complete short left to Justin Watson for 4 yards, touchdown",6.28,7
3,3:31,,,SFO 15,28,16,Harrison Butker kicks extra point good,0,0
3,3:31,,,KAN 35,28,16,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
3,3:31,1,10,SFO 25,28,16,"Jimmy Garoppolo pass complete deep right to Brandon Aiyuk for no gain. Penalty on Mike McGlinchey: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41
3,3:05,1,20,SFO 15,28,16,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 13 yards (tackle by L'Jarius Sneed),-0.41,0.47
3,2:19,2,7,SFO 28,28,16,"Jimmy Garoppolo pass incomplete short right intended for George Kittle. Penalty on L'Jarius Sneed: Defensive Pass Interference, 14 yards (accepted) (no play)",0.47,1.73
3,2:13,1,10,SFO 42,28,16,"Jeff Wilson up the middle for no gain (tackle by L'Jarius Sneed). Penalty on Deebo Samuel: Offensive Holding, 10 yards (accepted) . Penalty on Trent Williams: Offensive Holding, 10 yards (declined) (no play)",1.73,1.07
3,1:52,1,20,SFO 32,28,16,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 11 yards (tackle by Khalen Saunders),1.07,1.32
3,1:07,2,9,SFO 43,28,16,Jimmy Garoppolo pass complete short right to Jauan Jennings for 11 yards (tackle by Khalen Saunders),1.32,2.52
3,0:25,1,10,KAN 46,28,16,Jimmy Garoppolo pass complete short right to George Kittle for 19 yards (tackle by Jaylen Watson),2.52,3.78
4,15:00,1,10,KAN 27,28,16,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 12 yards (tackle by Willie Gay),3.78,4.58
4,14:29,1,10,KAN 15,28,16,Jimmy Garoppolo pass incomplete short left intended for Brandon Aiyuk (defended by L'Jarius Sneed),4.58,3.95
4,14:23,2,10,KAN 15,28,16,Jimmy Garoppolo pass incomplete short right intended for Jeff Wilson,3.95,3.1
4,14:19,3,10,KAN 15,28,22,"Jimmy Garoppolo pass complete short middle to George Kittle for 15 yards, touchdown",3.1,7
4,14:16,,,KAN 15,28,23,Robbie Gould kicks extra point good,0,0
4,14:16,,,SFO 35,28,23,"Robbie Gould kicks off 62 yards, returned by Isiah Pacheco for 17 yards (tackle by Oren Burks)",0,0.28
4,14:12,1,10,KAN 20,28,23,Patrick Mahomes sacked by Nick Bosa for -6 yards,0.28,-1.18
